patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1142.0
17,3,2,0.4,0.6,0.6,0.8,1123.0
13,2,3,0.6,0.4,0.8,0.6,1067.0
11,2,1,0.2,0.4,0.4,0.6,1058.0
18,3,3,0.6,0.6,0.8,0.8,1054.0
16,3,1,0.2,0.6,0.4,0.8,1050.0
7,1,2,0.4,0.2,0.6,0.4,1038.0
8,1,3,0.6,0.2,0.8,0.4,979.0
6,1,1,0.2,0.2,0.4,0.4,967.0
22,4,2,0.4,0.8,0.6,1.0,931.0
21,4,1,0.2,0.8,0.4,1.0,884.0
23,4,3,0.6,0.8,0.8,1.0,880.0
2,0,2,0.4,0.0,0.6,0.2,816.0
3,0,3,0.6,0.0,0.8,0.2,777.0
14,2,4,0.8,0.4,1.0,0.6,769.0
1,0,1,0.2,0.0,0.4,0.2,767.0
10,2,0,0.0,0.4,0.2,0.6,763.0
19,3,4,0.8,0.6,1.0,0.8,762.0
15,3,0,0.0,0.6,0.2,0.8,761.0
9,1,4,0.8,0.2,1.0,0.4,727.0
5,1,0,0.0,0.2,0.2,0.4,721.0
20,4,0,0.0,0.8,0.2,1.0,668.0
24,4,4,0.8,0.8,1.0,1.0,664.0
4,0,4,0.8,0.0,1.0,0.2,607.0
0,0,0,0.0,0.0,0.2,0.2,604.0
