patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
17,3,2,0.4,0.6,0.6,0.8,1155.0
12,2,2,0.4,0.4,0.6,0.6,1136.0
16,3,1,0.2,0.6,0.4,0.8,1109.0
18,3,3,0.6,0.6,0.8,0.8,1106.0
11,2,1,0.2,0.4,0.4,0.6,1088.0
13,2,3,0.6,0.4,0.8,0.6,1084.0
22,4,2,0.4,0.8,0.6,1.0,925.0
7,1,2,0.4,0.2,0.6,0.4,904.0
23,4,3,0.6,0.8,0.8,1.0,891.0
21,4,1,0.2,0.8,0.4,1.0,886.0
8,1,3,0.6,0.2,0.8,0.4,872.0
6,1,1,0.2,0.2,0.4,0.4,869.0
15,3,0,0.0,0.6,0.2,0.8,825.0
19,3,4,0.8,0.6,1.0,0.8,823.0
10,2,0,0.0,0.4,0.2,0.6,819.0
14,2,4,0.8,0.4,1.0,0.6,811.0
5,1,0,0.0,0.2,0.2,0.4,685.0
24,4,4,0.8,0.8,1.0,1.0,679.0
20,4,0,0.0,0.8,0.2,1.0,673.0
9,1,4,0.8,0.2,1.0,0.4,672.0
2,0,2,0.4,0.0,0.6,0.2,520.0
3,0,3,0.6,0.0,0.8,0.2,508.0
1,0,1,0.2,0.0,0.4,0.2,501.0
0,0,0,0.0,0.0,0.2,0.2,425.0
4,0,4,0.8,0.0,1.0,0.2,417.0
