patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,872.0
11,2,1,0.2,0.4,0.4,0.6,861.0
13,2,3,0.6,0.4,0.8,0.6,833.0
17,3,2,0.4,0.6,0.6,0.8,810.0
7,1,2,0.4,0.2,0.6,0.4,806.0
6,1,1,0.2,0.2,0.4,0.4,799.0
16,3,1,0.2,0.6,0.4,0.8,794.0
18,3,3,0.6,0.6,0.8,0.8,778.0
8,1,3,0.6,0.2,0.8,0.4,774.0
10,2,0,0.0,0.4,0.2,0.6,686.0
14,2,4,0.8,0.4,1.0,0.6,654.0
5,1,0,0.0,0.2,0.2,0.4,651.0
15,3,0,0.0,0.6,0.2,0.8,640.0
19,3,4,0.8,0.6,1.0,0.8,616.0
9,1,4,0.8,0.2,1.0,0.4,610.0
2,0,2,0.4,0.0,0.6,0.2,502.0
1,0,1,0.2,0.0,0.4,0.2,500.0
22,4,2,0.4,0.8,0.6,1.0,493.0
21,4,1,0.2,0.8,0.4,1.0,486.0
3,0,3,0.6,0.0,0.8,0.2,482.0
23,4,3,0.6,0.8,0.8,1.0,470.0
0,0,0,0.0,0.0,0.2,0.2,446.0
20,4,0,0.0,0.8,0.2,1.0,414.0
4,0,4,0.8,0.0,1.0,0.2,398.0
24,4,4,0.8,0.8,1.0,1.0,394.0
