patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1248.0
7,1,2,0.4,0.2,0.6,0.4,1174.0
11,2,1,0.2,0.4,0.4,0.6,1133.0
17,3,2,0.4,0.6,0.6,0.8,1130.0
13,2,3,0.6,0.4,0.8,0.6,1128.0
6,1,1,0.2,0.2,0.4,0.4,1083.0
8,1,3,0.6,0.2,0.8,0.4,1074.0
18,3,3,0.6,0.6,0.8,0.8,1038.0
16,3,1,0.2,0.6,0.4,0.8,1036.0
10,2,0,0.0,0.4,0.2,0.6,487.0
5,1,0,0.0,0.2,0.2,0.4,472.0
15,3,0,0.0,0.6,0.2,0.8,468.0
2,0,2,0.4,0.0,0.6,0.2,452.0
14,2,4,0.8,0.4,1.0,0.6,447.0
19,3,4,0.8,0.6,1.0,0.8,431.0
1,0,1,0.2,0.0,0.4,0.2,431.0
9,1,4,0.8,0.2,1.0,0.4,428.0
3,0,3,0.6,0.0,0.8,0.2,425.0
22,4,2,0.4,0.8,0.6,1.0,286.0
23,4,3,0.6,0.8,0.8,1.0,268.0
21,4,1,0.2,0.8,0.4,1.0,260.0
0,0,0,0.0,0.0,0.2,0.2,232.0
4,0,4,0.8,0.0,1.0,0.2,199.0
20,4,0,0.0,0.8,0.2,1.0,166.0
24,4,4,0.8,0.8,1.0,1.0,151.0
