patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1216.0
13,2,3,0.6,0.4,0.8,0.6,1191.0
17,3,2,0.4,0.6,0.6,0.8,1170.0
11,2,1,0.2,0.4,0.4,0.6,1169.0
7,1,2,0.4,0.2,0.6,0.4,1163.0
18,3,3,0.6,0.6,0.8,0.8,1146.0
8,1,3,0.6,0.2,0.8,0.4,1136.0
16,3,1,0.2,0.6,0.4,0.8,1125.0
6,1,1,0.2,0.2,0.4,0.4,1116.0
14,2,4,0.8,0.4,1.0,0.6,1086.0
19,3,4,0.8,0.6,1.0,0.8,1044.0
9,1,4,0.8,0.2,1.0,0.4,1039.0
10,2,0,0.0,0.4,0.2,0.6,1030.0
5,1,0,0.0,0.2,0.2,0.4,990.0
15,3,0,0.0,0.6,0.2,0.8,989.0
22,4,2,0.4,0.8,0.6,1.0,935.0
23,4,3,0.6,0.8,0.8,1.0,922.0
21,4,1,0.2,0.8,0.4,1.0,904.0
2,0,2,0.4,0.0,0.6,0.2,863.0
24,4,4,0.8,0.8,1.0,1.0,853.0
3,0,3,0.6,0.0,0.8,0.2,849.0
1,0,1,0.2,0.0,0.4,0.2,829.0
20,4,0,0.0,0.8,0.2,1.0,807.0
4,0,4,0.8,0.0,1.0,0.2,784.0
0,0,0,0.0,0.0,0.2,0.2,747.0
