patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1237.0
13,2,3,0.6,0.4,0.8,0.6,1204.0
11,2,1,0.2,0.4,0.4,0.6,1202.0
17,3,2,0.4,0.6,0.6,0.8,1180.0
7,1,2,0.4,0.2,0.6,0.4,1173.0
18,3,3,0.6,0.6,0.8,0.8,1152.0
16,3,1,0.2,0.6,0.4,0.8,1149.0
8,1,3,0.6,0.2,0.8,0.4,1144.0
6,1,1,0.2,0.2,0.4,0.4,1140.0
14,2,4,0.8,0.4,1.0,0.6,1038.0
10,2,0,0.0,0.4,0.2,0.6,1017.0
19,3,4,0.8,0.6,1.0,0.8,997.0
9,1,4,0.8,0.2,1.0,0.4,993.0
15,3,0,0.0,0.6,0.2,0.8,984.0
5,1,0,0.0,0.2,0.2,0.4,964.0
22,4,2,0.4,0.8,0.6,1.0,957.0
23,4,3,0.6,0.8,0.8,1.0,943.0
21,4,1,0.2,0.8,0.4,1.0,942.0
2,0,2,0.4,0.0,0.6,0.2,941.0
3,0,3,0.6,0.0,0.8,0.2,920.0
1,0,1,0.2,0.0,0.4,0.2,916.0
24,4,4,0.8,0.8,1.0,1.0,840.0
20,4,0,0.0,0.8,0.2,1.0,834.0
4,0,4,0.8,0.0,1.0,0.2,826.0
0,0,0,0.0,0.0,0.2,0.2,806.0
