patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,941.0
17,3,2,0.4,0.6,0.6,0.8,907.0
11,2,1,0.2,0.4,0.4,0.6,887.0
13,2,3,0.6,0.4,0.8,0.6,885.0
18,3,3,0.6,0.6,0.8,0.8,860.0
16,3,1,0.2,0.6,0.4,0.8,853.0
7,1,2,0.4,0.2,0.6,0.4,838.0
6,1,1,0.2,0.2,0.4,0.4,799.0
8,1,3,0.6,0.2,0.8,0.4,780.0
22,4,2,0.4,0.8,0.6,1.0,757.0
23,4,3,0.6,0.8,0.8,1.0,722.0
21,4,1,0.2,0.8,0.4,1.0,715.0
10,2,0,0.0,0.4,0.2,0.6,676.0
2,0,2,0.4,0.0,0.6,0.2,676.0
1,0,1,0.2,0.0,0.4,0.2,656.0
15,3,0,0.0,0.6,0.2,0.8,656.0
14,2,4,0.8,0.4,1.0,0.6,646.0
3,0,3,0.6,0.0,0.8,0.2,635.0
19,3,4,0.8,0.6,1.0,0.8,629.0
5,1,0,0.0,0.2,0.2,0.4,621.0
9,1,4,0.8,0.2,1.0,0.4,586.0
20,4,0,0.0,0.8,0.2,1.0,574.0
24,4,4,0.8,0.8,1.0,1.0,544.0
0,0,0,0.0,0.0,0.2,0.2,532.0
4,0,4,0.8,0.0,1.0,0.2,491.0
