patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1083.0
11,2,1,0.2,0.4,0.4,0.6,1047.0
7,1,2,0.4,0.2,0.6,0.4,1038.0
13,2,3,0.6,0.4,0.8,0.6,1033.0
6,1,1,0.2,0.2,0.4,0.4,1009.0
17,3,2,0.4,0.6,0.6,0.8,1003.0
8,1,3,0.6,0.2,0.8,0.4,988.0
16,3,1,0.2,0.6,0.4,0.8,981.0
18,3,3,0.6,0.6,0.8,0.8,965.0
10,2,0,0.0,0.4,0.2,0.6,874.0
5,1,0,0.0,0.2,0.2,0.4,853.0
14,2,4,0.8,0.4,1.0,0.6,829.0
15,3,0,0.0,0.6,0.2,0.8,827.0
9,1,4,0.8,0.2,1.0,0.4,795.0
2,0,2,0.4,0.0,0.6,0.2,792.0
19,3,4,0.8,0.6,1.0,0.8,790.0
1,0,1,0.2,0.0,0.4,0.2,783.0
3,0,3,0.6,0.0,0.8,0.2,759.0
0,0,0,0.0,0.0,0.2,0.2,682.0
22,4,2,0.4,0.8,0.6,1.0,655.0
21,4,1,0.2,0.8,0.4,1.0,647.0
23,4,3,0.6,0.8,0.8,1.0,637.0
4,0,4,0.8,0.0,1.0,0.2,624.0
20,4,0,0.0,0.8,0.2,1.0,564.0
24,4,4,0.8,0.8,1.0,1.0,548.0
