patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1043.0
13,2,3,0.6,0.4,0.8,0.6,995.0
11,2,1,0.2,0.4,0.4,0.6,986.0
17,3,2,0.4,0.6,0.6,0.8,986.0
7,1,2,0.4,0.2,0.6,0.4,960.0
18,3,3,0.6,0.6,0.8,0.8,938.0
16,3,1,0.2,0.6,0.4,0.8,929.0
8,1,3,0.6,0.2,0.8,0.4,927.0
6,1,1,0.2,0.2,0.4,0.4,904.0
14,2,4,0.8,0.4,1.0,0.6,761.0
22,4,2,0.4,0.8,0.6,1.0,744.0
10,2,0,0.0,0.4,0.2,0.6,731.0
19,3,4,0.8,0.6,1.0,0.8,721.0
23,4,3,0.6,0.8,0.8,1.0,719.0
9,1,4,0.8,0.2,1.0,0.4,712.0
21,4,1,0.2,0.8,0.4,1.0,704.0
2,0,2,0.4,0.0,0.6,0.2,699.0
15,3,0,0.0,0.6,0.2,0.8,690.0
5,1,0,0.0,0.2,0.2,0.4,683.0
3,0,3,0.6,0.0,0.8,0.2,679.0
1,0,1,0.2,0.0,0.4,0.2,669.0
24,4,4,0.8,0.8,1.0,1.0,589.0
20,4,0,0.0,0.8,0.2,1.0,565.0
4,0,4,0.8,0.0,1.0,0.2,551.0
0,0,0,0.0,0.0,0.2,0.2,537.0
