patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1052.0
11,2,1,0.2,0.4,0.4,0.6,965.0
17,3,2,0.4,0.6,0.6,0.8,961.0
13,2,3,0.6,0.4,0.8,0.6,958.0
7,1,2,0.4,0.2,0.6,0.4,924.0
16,3,1,0.2,0.6,0.4,0.8,889.0
18,3,3,0.6,0.6,0.8,0.8,878.0
6,1,1,0.2,0.2,0.4,0.4,852.0
8,1,3,0.6,0.2,0.8,0.4,848.0
22,4,2,0.4,0.8,0.6,1.0,664.0
23,4,3,0.6,0.8,0.8,1.0,620.0
21,4,1,0.2,0.8,0.4,1.0,619.0
2,0,2,0.4,0.0,0.6,0.2,547.0
10,2,0,0.0,0.4,0.2,0.6,540.0
14,2,4,0.8,0.4,1.0,0.6,524.0
1,0,1,0.2,0.0,0.4,0.2,510.0
15,3,0,0.0,0.6,0.2,0.8,506.0
5,1,0,0.0,0.2,0.2,0.4,496.0
3,0,3,0.6,0.0,0.8,0.2,494.0
9,1,4,0.8,0.2,1.0,0.4,484.0
19,3,4,0.8,0.6,1.0,0.8,481.0
20,4,0,0.0,0.8,0.2,1.0,374.0
24,4,4,0.8,0.8,1.0,1.0,372.0
0,0,0,0.0,0.0,0.2,0.2,346.0
4,0,4,0.8,0.0,1.0,0.2,313.0
