patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
7,1,2,0.4,0.2,0.6,0.4,929.0
12,2,2,0.4,0.4,0.6,0.6,885.0
6,1,1,0.2,0.2,0.4,0.4,852.0
11,2,1,0.2,0.4,0.4,0.6,795.0
8,1,3,0.6,0.2,0.8,0.4,792.0
13,2,3,0.6,0.4,0.8,0.6,765.0
2,0,2,0.4,0.0,0.6,0.2,577.0
17,3,2,0.4,0.6,0.6,0.8,554.0
1,0,1,0.2,0.0,0.4,0.2,536.0
16,3,1,0.2,0.6,0.4,0.8,515.0
18,3,3,0.6,0.6,0.8,0.8,494.0
3,0,3,0.6,0.0,0.8,0.2,478.0
5,1,0,0.0,0.2,0.2,0.4,417.0
10,2,0,0.0,0.4,0.2,0.6,365.0
9,1,4,0.8,0.2,1.0,0.4,326.0
14,2,4,0.8,0.4,1.0,0.6,305.0
0,0,0,0.0,0.0,0.2,0.2,279.0
15,3,0,0.0,0.6,0.2,0.8,244.0
4,0,4,0.8,0.0,1.0,0.2,208.0
19,3,4,0.8,0.6,1.0,0.8,204.0
22,4,2,0.4,0.8,0.6,1.0,182.0
21,4,1,0.2,0.8,0.4,1.0,173.0
23,4,3,0.6,0.8,0.8,1.0,170.0
20,4,0,0.0,0.8,0.2,1.0,97.0
24,4,4,0.8,0.8,1.0,1.0,84.0
