patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1188.0
7,1,2,0.4,0.2,0.6,0.4,1136.0
13,2,3,0.6,0.4,0.8,0.6,1133.0
17,3,2,0.4,0.6,0.6,0.8,1116.0
11,2,1,0.2,0.4,0.4,0.6,1115.0
8,1,3,0.6,0.2,0.8,0.4,1080.0
6,1,1,0.2,0.2,0.4,0.4,1072.0
18,3,3,0.6,0.6,0.8,0.8,1068.0
16,3,1,0.2,0.6,0.4,0.8,1050.0
14,2,4,0.8,0.4,1.0,0.6,921.0
2,0,2,0.4,0.0,0.6,0.2,896.0
9,1,4,0.8,0.2,1.0,0.4,887.0
19,3,4,0.8,0.6,1.0,0.8,872.0
10,2,0,0.0,0.4,0.2,0.6,865.0
3,0,3,0.6,0.0,0.8,0.2,863.0
1,0,1,0.2,0.0,0.4,0.2,853.0
5,1,0,0.0,0.2,0.2,0.4,844.0
22,4,2,0.4,0.8,0.6,1.0,835.0
15,3,0,0.0,0.6,0.2,0.8,815.0
23,4,3,0.6,0.8,0.8,1.0,802.0
21,4,1,0.2,0.8,0.4,1.0,789.0
4,0,4,0.8,0.0,1.0,0.2,726.0
0,0,0,0.0,0.0,0.2,0.2,687.0
24,4,4,0.8,0.8,1.0,1.0,660.0
20,4,0,0.0,0.8,0.2,1.0,619.0
