patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1121.0
17,3,2,0.4,0.6,0.6,0.8,1066.0
11,2,1,0.2,0.4,0.4,0.6,1056.0
7,1,2,0.4,0.2,0.6,0.4,1045.0
13,2,3,0.6,0.4,0.8,0.6,1044.0
16,3,1,0.2,0.6,0.4,0.8,1010.0
18,3,3,0.6,0.6,0.8,0.8,996.0
6,1,1,0.2,0.2,0.4,0.4,985.0
8,1,3,0.6,0.2,0.8,0.4,976.0
10,2,0,0.0,0.4,0.2,0.6,779.0
22,4,2,0.4,0.8,0.6,1.0,766.0
15,3,0,0.0,0.6,0.2,0.8,755.0
14,2,4,0.8,0.4,1.0,0.6,754.0
21,4,1,0.2,0.8,0.4,1.0,748.0
19,3,4,0.8,0.6,1.0,0.8,739.0
5,1,0,0.0,0.2,0.2,0.4,738.0
23,4,3,0.6,0.8,0.8,1.0,721.0
9,1,4,0.8,0.2,1.0,0.4,719.0
2,0,2,0.4,0.0,0.6,0.2,718.0
1,0,1,0.2,0.0,0.4,0.2,689.0
3,0,3,0.6,0.0,0.8,0.2,681.0
20,4,0,0.0,0.8,0.2,1.0,622.0
24,4,4,0.8,0.8,1.0,1.0,594.0
0,0,0,0.0,0.0,0.2,0.2,589.0
4,0,4,0.8,0.0,1.0,0.2,563.0
