patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
7,1,2,0.4,0.2,0.6,0.4,1224.0
12,2,2,0.4,0.4,0.6,0.6,1219.0
6,1,1,0.2,0.2,0.4,0.4,1178.0
11,2,1,0.2,0.4,0.4,0.6,1177.0
8,1,3,0.6,0.2,0.8,0.4,1173.0
13,2,3,0.6,0.4,0.8,0.6,1167.0
17,3,2,0.4,0.6,0.6,0.8,1118.0
16,3,1,0.2,0.6,0.4,0.8,1083.0
18,3,3,0.6,0.6,0.8,0.8,1076.0
2,0,2,0.4,0.0,0.6,0.2,1062.0
1,0,1,0.2,0.0,0.4,0.2,1031.0
3,0,3,0.6,0.0,0.8,0.2,1024.0
14,2,4,0.8,0.4,1.0,0.6,884.0
10,2,0,0.0,0.4,0.2,0.6,884.0
9,1,4,0.8,0.2,1.0,0.4,882.0
5,1,0,0.0,0.2,0.2,0.4,877.0
15,3,0,0.0,0.6,0.2,0.8,849.0
19,3,4,0.8,0.6,1.0,0.8,846.0
4,0,4,0.8,0.0,1.0,0.2,801.0
0,0,0,0.0,0.0,0.2,0.2,792.0
22,4,2,0.4,0.8,0.6,1.0,722.0
21,4,1,0.2,0.8,0.4,1.0,714.0
23,4,3,0.6,0.8,0.8,1.0,694.0
20,4,0,0.0,0.8,0.2,1.0,616.0
24,4,4,0.8,0.8,1.0,1.0,598.0
