patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1097.0
7,1,2,0.4,0.2,0.6,0.4,1042.0
11,2,1,0.2,0.4,0.4,0.6,1015.0
13,2,3,0.6,0.4,0.8,0.6,973.0
6,1,1,0.2,0.2,0.4,0.4,956.0
17,3,2,0.4,0.6,0.6,0.8,946.0
8,1,3,0.6,0.2,0.8,0.4,933.0
16,3,1,0.2,0.6,0.4,0.8,878.0
18,3,3,0.6,0.6,0.8,0.8,855.0
2,0,2,0.4,0.0,0.6,0.2,568.0
1,0,1,0.2,0.0,0.4,0.2,548.0
10,2,0,0.0,0.4,0.2,0.6,527.0
3,0,3,0.6,0.0,0.8,0.2,516.0
22,4,2,0.4,0.8,0.6,1.0,504.0
14,2,4,0.8,0.4,1.0,0.6,502.0
5,1,0,0.0,0.2,0.2,0.4,499.0
9,1,4,0.8,0.2,1.0,0.4,486.0
21,4,1,0.2,0.8,0.4,1.0,480.0
15,3,0,0.0,0.6,0.2,0.8,474.0
23,4,3,0.6,0.8,0.8,1.0,469.0
19,3,4,0.8,0.6,1.0,0.8,455.0
0,0,0,0.0,0.0,0.2,0.2,353.0
4,0,4,0.8,0.0,1.0,0.2,319.0
20,4,0,0.0,0.8,0.2,1.0,315.0
24,4,4,0.8,0.8,1.0,1.0,300.0
